Error_Rate (%),Task_Start_Time,Task_End_Time,CPU_Utilization (%),Memory_Consumption (MB),Task_Execution_Time (ms),System_Throughput (tasks/sec),Task_Waiting_Time (ms),Data_Source,Number_of_Active_Users,Network_Bandwidth_Utilization (Mbps),Job_Priority,Scheduler_Type,Resource_Allocation_Type
1.02,01-01-2024 22:40,01-01-2024 22:40,82.99,2082,1090,3.8,644,Enterprise DB,1628,117.14,Medium,FCFS,Dynamic
3,01-01-2024 22:41,01-01-2024 22:41,26.85,6682,4529,3.63,908,IoT,3779,542.3,High,Round Robin,Static
2.83,01-01-2024 22:42,01-01-2024 22:42,59.84,1808,2260,5.93,491,IoT,1126,821.27,Low,ASB-Dynamic-CapsNet,Dynamic
0.88,01-01-2024 22:43,01-01-2024 22:43,60.52,5417,4557,2.83,335,Social Media,2330,383.87,Low,Round Robin,Static
0.77,01-01-2024 22:44,01-01-2024 22:44,68.65,1101,2244,6.69,948,Enterprise DB,1880,359.12,Low,ASB-Dynamic-CapsNet,Static
0.58,01-01-2024 22:45,01-01-2024 22:45,20.53,2120,2163,8.41,38,IoT,1948,345.42,High,ASB-Dynamic-CapsNet,Dynamic
4.31,01-01-2024 22:46,01-01-2024 22:46,67.27,5380,2703,4.86,268,Social Media,4345,923.86,Low,Round Robin,Dynamic
3.27,01-01-2024 22:47,01-01-2024 22:47,82.72,5807,2077,6.96,707,Social Media,723,58.27,Low,ASB-Dynamic-CapsNet,Static
4.77,01-01-2024 22:48,01-01-2024 22:48,24.37,5266,475,6.69,938,Cloud,598,450.63,Medium,FCFS,Dynamic
0.83,01-01-2024 22:49,01-01-2024 22:49,29,5862,841,0.87,84,IoT,986,271.95,Low,Priority-Based,Static
2.3,01-01-2024 22:50,01-01-2024 22:50,87.71,5692,4585,2.24,566,Enterprise DB,4194,894.87,Low,Round Robin,Dynamic
3.72,01-01-2024 22:51,01-01-2024 22:51,24.48,7122,2767,8.99,590,IoT,945,105.09,Medium,ASB-Dynamic-CapsNet,Static
1.07,01-01-2024 22:52,01-01-2024 22:52,78.35,6593,1340,9.42,507,IoT,2619,417.33,High,FCFS,Static
3.42,01-01-2024 22:53,01-01-2024 22:53,49.38,7204,3570,7.91,425,Enterprise DB,2137,412.75,High,Priority-Based,Dynamic
2.37,01-01-2024 22:54,01-01-2024 22:54,29.78,600,2467,9.25,888,Enterprise DB,963,889.51,Medium,ASB-Dynamic-CapsNet,Dynamic
2.15,01-01-2024 22:55,01-01-2024 22:55,79.66,7157,2343,3.41,731,Cloud,1226,223.34,High,ASB-Dynamic-CapsNet,Dynamic
3.22,01-01-2024 22:56,01-01-2024 22:56,45.62,6375,3649,2.85,760,Social Media,4821,648.45,High,FCFS,Dynamic
2.34,01-01-2024 22:57,01-01-2024 22:57,51.19,4771,517,4.15,349,Enterprise DB,4915,143.06,Low,Priority-Based,Static
4.1,01-01-2024 22:58,01-01-2024 22:58,38.74,737,706,1.03,317,Enterprise DB,4356,954.44,Low,Priority-Based,Dynamic
4.65,01-01-2024 22:59,01-01-2024 22:59,57.44,7553,667,8.19,713,IoT,3323,597.08,Low,FCFS,Static
2.94,01-01-2024 23:00,01-01-2024 23:00,23.08,7726,643,9.85,893,Enterprise DB,4292,629.99,High,Priority-Based,Static
1.5,01-01-2024 23:01,01-01-2024 23:01,41.29,5718,983,8.33,624,Enterprise DB,1572,439.44,Low,Round Robin,Static
3.89,01-01-2024 23:02,01-01-2024 23:02,87.55,4525,4898,5.77,250,IoT,2852,348.86,High,Priority-Based,Static
0.85,01-01-2024 23:03,01-01-2024 23:03,30.65,3418,1323,3.31,262,IoT,3172,220.55,Low,ASB-Dynamic-CapsNet,Dynamic
0.47,01-01-2024 23:04,01-01-2024 23:04,62.54,6573,2993,2.38,945,IoT,4640,607.95,High,Priority-Based,Dynamic
2.59,01-01-2024 23:05,01-01-2024 23:05,36.02,3042,2168,3.96,229,Cloud,2506,955.02,Medium,Round Robin,Static
3.23,01-01-2024 23:06,01-01-2024 23:06,71.88,7590,3809,6.84,406,Social Media,1699,366.19,Medium,Round Robin,Static
4.17,01-01-2024 23:07,01-01-2024 23:07,20.47,2503,1886,4.75,995,Enterprise DB,2370,884.33,Low,ASB-Dynamic-CapsNet,Dynamic
4.78,01-01-2024 23:08,01-01-2024 23:08,87.59,2037,1557,9.37,345,IoT,2555,157.29,High,ASB-Dynamic-CapsNet,Dynamic
4.37,01-01-2024 23:09,01-01-2024 23:09,46.3,1254,2014,8.62,738,IoT,1193,936.76,Medium,Round Robin,Static
4.94,01-01-2024 23:10,01-01-2024 23:10,28.88,3868,177,1.47,723,Social Media,3822,356.98,Medium,FCFS,Static
2.38,01-01-2024 23:11,01-01-2024 23:11,15.88,2758,3713,1.75,38,Cloud,95,385.93,Low,Round Robin,Static
1.58,01-01-2024 23:12,01-01-2024 23:12,23.58,5742,1408,6.92,503,Enterprise DB,3364,468.21,Low,Priority-Based,Dynamic
2.3,01-01-2024 23:13,01-01-2024 23:13,51.58,7896,747,2.69,968,Cloud,4456,721.06,High,ASB-Dynamic-CapsNet,Dynamic
3.22,01-01-2024 23:14,01-01-2024 23:14,36.96,4165,2287,8.01,733,Cloud,2659,722.46,Medium,FCFS,Dynamic
2.54,01-01-2024 23:15,01-01-2024 23:15,76.31,6007,652,6.12,511,Cloud,4476,484.79,High,Round Robin,Static
3.17,01-01-2024 23:16,01-01-2024 23:16,44.47,4735,381,2.68,163,IoT,4156,527.92,High,ASB-Dynamic-CapsNet,Dynamic
4.43,01-01-2024 23:17,01-01-2024 23:17,29.9,1040,1381,5.05,240,Social Media,3169,39.71,Low,Priority-Based,Static
0.83,01-01-2024 23:18,01-01-2024 23:18,59.37,6010,1946,4.36,111,Social Media,1450,311.25,High,FCFS,Dynamic
0.6,01-01-2024 23:19,01-01-2024 23:19,66.54,769,2587,8.8,836,Social Media,1641,352.56,High,FCFS,Static
2.49,01-01-2024 23:20,01-01-2024 23:20,23.36,5631,2893,0.81,186,Cloud,57,563.14,Medium,FCFS,Dynamic
4.91,01-01-2024 23:21,01-01-2024 23:21,23.41,6486,3811,9.01,702,Enterprise DB,1033,562.72,High,Priority-Based,Static
0.3,01-01-2024 23:22,01-01-2024 23:22,12.93,3960,4299,6.69,993,Cloud,3647,712.8,Medium,ASB-Dynamic-CapsNet,Static
4.93,01-01-2024 23:23,01-01-2024 23:23,68.91,3908,4961,7.51,936,Social Media,1800,719.86,Medium,Round Robin,Static
4.84,01-01-2024 23:24,01-01-2024 23:24,63.1,1005,2876,0.52,241,IoT,3561,242.86,High,ASB-Dynamic-CapsNet,Dynamic
1.46,01-01-2024 23:25,01-01-2024 23:25,47.97,1629,1696,6.47,21,Cloud,3878,772.49,High,Priority-Based,Dynamic
4.46,01-01-2024 23:26,01-01-2024 23:26,77.53,2579,579,6.09,195,IoT,615,29.41,Medium,ASB-Dynamic-CapsNet,Static
0.04,01-01-2024 23:27,01-01-2024 23:27,74.45,3645,3412,5.6,770,Social Media,2370,719,High,FCFS,Static
2.27,01-01-2024 23:28,01-01-2024 23:28,56.83,3742,3318,7.97,941,Cloud,950,111.04,Medium,Round Robin,Static
2.01,01-01-2024 23:29,01-01-2024 23:29,79.46,6468,2063,5.78,275,IoT,2228,732.35,High,Priority-Based,Static
4.51,01-01-2024 23:30,01-01-2024 23:30,26.47,5688,2242,8.64,911,Cloud,3642,531.85,Medium,FCFS,Static
2.36,01-01-2024 23:31,01-01-2024 23:31,18.95,5408,3998,2.71,144,Social Media,2821,442.88,Medium,ASB-Dynamic-CapsNet,Static
2.09,01-01-2024 23:32,01-01-2024 23:32,31.58,861,2172,8.16,766,Enterprise DB,163,693.76,Low,FCFS,Static
3.2,01-01-2024 23:33,01-01-2024 23:33,14.57,4220,1395,2.2,40,Social Media,581,46.01,High,ASB-Dynamic-CapsNet,Static
1.88,01-01-2024 23:34,01-01-2024 23:34,52.49,1956,1038,8.22,868,Enterprise DB,1572,231.24,Medium,ASB-Dynamic-CapsNet,Static
2.68,01-01-2024 23:35,01-01-2024 23:35,84.93,5524,861,9.43,465,Enterprise DB,3460,620.28,Medium,Priority-Based,Dynamic
4.78,01-01-2024 23:36,01-01-2024 23:36,13.15,4567,4849,3.69,268,Social Media,1094,848.74,High,ASB-Dynamic-CapsNet,Static
1.01,01-01-2024 23:37,01-01-2024 23:37,19.77,4695,1769,5.53,113,IoT,82,387.3,High,FCFS,Static
2.29,01-01-2024 23:38,01-01-2024 23:38,46.18,2181,3962,6.75,440,Cloud,182,266.17,High,Priority-Based,Static
0.08,01-01-2024 23:39,01-01-2024 23:39,84.71,6652,2785,1.25,391,Cloud,3017,523.55,Low,Round Robin,Static
4.21,01-01-2024 23:40,01-01-2024 23:40,35.29,7340,3999,5.19,478,Cloud,1776,626.09,High,Priority-Based,Dynamic
0.46,01-01-2024 23:41,01-01-2024 23:41,50.58,1552,2031,3.93,522,Enterprise DB,75,425.9,Low,FCFS,Static
0.47,01-01-2024 23:42,01-01-2024 23:42,13.33,7781,4039,8.79,950,Enterprise DB,2698,877.94,High,ASB-Dynamic-CapsNet,Static
4.41,01-01-2024 23:43,01-01-2024 23:43,21.87,3009,1226,8.83,959,Social Media,4690,528.2,Low,Priority-Based,Static
2.05,01-01-2024 23:44,01-01-2024 23:44,88.93,5516,3397,7.16,955,IoT,1311,45.47,High,Priority-Based,Static
3.44,01-01-2024 23:45,01-01-2024 23:45,87.21,7810,4770,6.73,216,Social Media,2115,230.82,Low,Priority-Based,Static
4.29,01-01-2024 23:46,01-01-2024 23:46,10.4,7033,1303,7.47,656,Social Media,3395,456.14,Medium,FCFS,Dynamic
1.87,01-01-2024 23:47,01-01-2024 23:47,86.14,5227,4235,3.98,456,IoT,983,700.75,Low,ASB-Dynamic-CapsNet,Static
1.31,01-01-2024 23:48,01-01-2024 23:48,61.13,1181,3872,4.34,792,Enterprise DB,1100,227.55,Low,Round Robin,Static
0.85,01-01-2024 23:49,01-01-2024 23:49,79.43,6800,619,5.76,98,Social Media,866,976.49,Medium,Round Robin,Static
3.04,01-01-2024 23:50,01-01-2024 23:50,46.38,6978,2383,9.41,204,Social Media,4253,325.37,High,ASB-Dynamic-CapsNet,Dynamic
1.26,01-01-2024 23:51,01-01-2024 23:51,51.25,4432,4658,7.38,423,Enterprise DB,787,537.16,Medium,Round Robin,Dynamic
3.17,01-01-2024 23:52,01-01-2024 23:52,49.11,6903,582,5.73,131,Cloud,2964,28.78,Medium,ASB-Dynamic-CapsNet,Dynamic
1.59,01-01-2024 23:53,01-01-2024 23:53,63.35,2629,2577,7.82,471,IoT,3652,886.04,Medium,Priority-Based,Dynamic
1.74,01-01-2024 23:54,01-01-2024 23:54,21.17,5349,3193,4.02,125,IoT,842,790.95,Low,Priority-Based,Static
1.25,01-01-2024 23:55,01-01-2024 23:55,12.4,6060,442,7.44,205,Cloud,3225,203.5,Medium,FCFS,Static
2.09,01-01-2024 23:56,01-01-2024 23:56,34.63,4516,1562,4.4,45,IoT,1405,933.9,High,Priority-Based,Dynamic
0.81,01-01-2024 23:57,01-01-2024 23:57,66.37,7839,1302,3.16,76,Cloud,1435,322.68,Low,FCFS,Dynamic
1.6,01-01-2024 23:58,01-01-2024 23:58,26.15,3802,1721,6.29,654,Social Media,4042,695.26,Low,Round Robin,Static
3.89,01-01-2024 23:59,01-01-2024 23:59,63.87,1219,2498,7.03,290,IoT,4434,820.79,Medium,Round Robin,Dynamic
1.08,02-01-2024 00:00,02-01-2024 00:00,87.59,574,3696,4.86,488,IoT,1110,743.51,Low,Priority-Based,Static
4.74,02-01-2024 00:01,02-01-2024 00:01,17.51,1793,3635,5.87,20,Social Media,1421,918.41,High,ASB-Dynamic-CapsNet,Dynamic
2.46,02-01-2024 00:02,02-01-2024 00:02,63.81,2422,2977,7.09,977,Enterprise DB,4188,865.63,Low,Round Robin,Dynamic
0.53,02-01-2024 00:03,02-01-2024 00:03,45.5,7269,2490,7.79,739,Enterprise DB,1199,994.67,Medium,Round Robin,Dynamic
4.72,02-01-2024 00:04,02-01-2024 00:04,79.45,4657,3451,9.01,331,Social Media,3252,190.79,Medium,Round Robin,Dynamic
2.28,02-01-2024 00:05,02-01-2024 00:05,24.17,5469,3013,3.87,677,IoT,3403,311.71,Medium,ASB-Dynamic-CapsNet,Dynamic
2.78,02-01-2024 00:06,02-01-2024 00:06,65.41,819,1289,9.54,249,IoT,2992,639.86,Low,Priority-Based,Dynamic
0.93,02-01-2024 00:07,02-01-2024 00:07,77.05,2649,2440,6.55,69,IoT,4678,735.72,Medium,FCFS,Static
1.67,02-01-2024 00:08,02-01-2024 00:08,85.57,1952,3680,7.98,659,Cloud,3498,539.26,Low,ASB-Dynamic-CapsNet,Static
3.52,02-01-2024 00:09,02-01-2024 00:09,64.66,5469,1703,7.15,571,Enterprise DB,3097,83.19,Medium,ASB-Dynamic-CapsNet,Static
0.62,02-01-2024 00:10,02-01-2024 00:10,49.77,6341,3397,2.45,688,IoT,2760,843.18,Medium,Round Robin,Static
2.85,02-01-2024 00:11,02-01-2024 00:11,59.43,7597,697,1.18,174,Enterprise DB,1550,961.27,Medium,FCFS,Dynamic
3.47,02-01-2024 00:12,02-01-2024 00:12,79.51,6898,744,7.4,840,Enterprise DB,118,411.46,High,ASB-Dynamic-CapsNet,Static
0.01,02-01-2024 00:13,02-01-2024 00:13,55.65,2055,4643,5.36,198,IoT,1916,232.56,High,Round Robin,Dynamic
4.19,02-01-2024 00:14,02-01-2024 00:14,12.43,7213,3002,7.17,496,Social Media,1998,29.12,Medium,ASB-Dynamic-CapsNet,Dynamic
0.28,02-01-2024 00:15,02-01-2024 00:15,84.48,4707,863,5.03,990,Social Media,3951,244.93,Medium,Round Robin,Dynamic
1.23,02-01-2024 00:16,02-01-2024 00:16,65.16,3532,4930,3.47,101,Enterprise DB,3558,702.92,Low,FCFS,Static
4.82,02-01-2024 00:17,02-01-2024 00:17,64.12,7980,1742,3.21,815,Cloud,350,912.47,Low,FCFS,Dynamic
0.41,02-01-2024 00:18,02-01-2024 00:18,27.25,7641,2397,7.44,897,Enterprise DB,4172,102.58,High,Round Robin,Dynamic
4.13,02-01-2024 00:19,02-01-2024 00:19,62.71,960,4796,3.13,298,Enterprise DB,3027,557.73,Low,Priority-Based,Dynamic
3.26,02-01-2024 00:20,02-01-2024 00:20,41.51,7351,2272,7.29,518,Social Media,2650,698.58,Low,ASB-Dynamic-CapsNet,Dynamic
2.99,02-01-2024 00:21,02-01-2024 00:21,62.1,1386,2260,4.15,84,IoT,2203,283.62,Low,Priority-Based,Static
2.91,02-01-2024 00:22,02-01-2024 00:22,18.53,4033,3849,7.82,566,IoT,4731,574.2,Low,ASB-Dynamic-CapsNet,Dynamic
0.83,02-01-2024 00:23,02-01-2024 00:23,62.63,4436,3022,1.86,437,Cloud,4955,718.1,High,FCFS,Static
3.34,02-01-2024 00:24,02-01-2024 00:24,89.95,1615,679,2.45,394,Social Media,4779,839.34,High,ASB-Dynamic-CapsNet,Dynamic
4.76,02-01-2024 00:25,02-01-2024 00:25,13.86,1575,3904,7.02,62,Social Media,4068,457.97,Low,Round Robin,Static
0.39,02-01-2024 00:26,02-01-2024 00:26,88.17,4376,4978,5.82,184,Enterprise DB,3132,750.38,Low,Round Robin,Static
1.66,02-01-2024 00:27,02-01-2024 00:27,42.55,5115,2468,2.44,682,Social Media,4804,308.77,High,Round Robin,Static
2.36,02-01-2024 00:28,02-01-2024 00:28,79.66,5407,4032,9.08,588,Enterprise DB,1289,220.92,Medium,Priority-Based,Static
1.16,02-01-2024 00:29,02-01-2024 00:29,72.59,7765,4727,3.12,483,Cloud,2983,195.44,Low,FCFS,Static
3.7,02-01-2024 00:30,02-01-2024 00:30,55.36,6879,3460,4.5,920,Social Media,2418,365.28,Medium,FCFS,Static
3.44,02-01-2024 00:31,02-01-2024 00:31,69.08,2424,4807,2.42,370,Social Media,509,45.52,Low,FCFS,Static
0.59,02-01-2024 00:32,02-01-2024 00:32,80.28,6200,1200,4.19,279,Enterprise DB,4078,290.16,High,Round Robin,Dynamic
2.85,02-01-2024 00:33,02-01-2024 00:33,42.33,1426,1770,5.17,416,Social Media,2676,655.7,Low,FCFS,Dynamic
1.84,02-01-2024 00:34,02-01-2024 00:34,36.16,5152,2320,3.3,133,IoT,3813,651.44,Medium,Priority-Based,Static
1.14,02-01-2024 00:35,02-01-2024 00:35,63.41,7292,316,7.81,703,Cloud,2851,82.82,High,Priority-Based,Static
4.24,02-01-2024 00:36,02-01-2024 00:36,74.63,2781,475,4.24,385,IoT,4305,294.54,Low,Priority-Based,Static
0.27,02-01-2024 00:37,02-01-2024 00:37,70.98,1555,1709,7.43,401,Enterprise DB,513,573.86,Low,Round Robin,Dynamic
2.34,02-01-2024 00:38,02-01-2024 00:38,73.83,7956,4206,2.47,191,Enterprise DB,1047,325.37,High,ASB-Dynamic-CapsNet,Dynamic
2.38,02-01-2024 00:39,02-01-2024 00:39,44.85,5174,3939,4.08,45,Enterprise DB,3056,423.81,Low,FCFS,Dynamic
2.85,02-01-2024 00:40,02-01-2024 00:40,75.43,1041,3039,0.58,221,Cloud,1728,715.68,High,Priority-Based,Static
0.99,02-01-2024 00:41,02-01-2024 00:41,19.62,2661,4162,7.71,905,Social Media,914,19.17,Low,ASB-Dynamic-CapsNet,Static
4.36,02-01-2024 00:42,02-01-2024 00:42,53.56,2751,1713,6.45,957,IoT,1240,283.63,High,ASB-Dynamic-CapsNet,Static
4.83,02-01-2024 00:43,02-01-2024 00:43,10.46,1552,3779,8.27,143,Social Media,2747,150.95,Low,Priority-Based,Dynamic
2.74,02-01-2024 00:44,02-01-2024 00:44,35.97,7286,1396,4.83,874,Enterprise DB,2424,136.33,High,Priority-Based,Static
1.28,02-01-2024 00:45,02-01-2024 00:45,39.32,5069,4096,8.1,933,Social Media,914,959.45,High,FCFS,Static
4.38,02-01-2024 00:46,02-01-2024 00:46,41.69,3244,4886,6.65,699,Cloud,2626,382.79,Low,FCFS,Static
4.94,02-01-2024 00:47,02-01-2024 00:47,65.64,6896,1255,0.53,687,Enterprise DB,3965,531.82,High,ASB-Dynamic-CapsNet,Dynamic
3.71,02-01-2024 00:48,02-01-2024 00:48,41.08,4369,4979,2.91,935,Social Media,2976,736.48,Low,ASB-Dynamic-CapsNet,Static
1.67,02-01-2024 00:49,02-01-2024 00:49,45.9,5500,2466,5.19,500,IoT,4479,56.97,Low,ASB-Dynamic-CapsNet,Static
1.18,02-01-2024 00:50,02-01-2024 00:50,29,6541,2991,6.38,858,Enterprise DB,2447,248.61,Low,Round Robin,Dynamic
0.78,02-01-2024 00:51,02-01-2024 00:51,39.86,4981,2072,1.12,850,Enterprise DB,2271,833.83,High,ASB-Dynamic-CapsNet,Dynamic
1.17,02-01-2024 00:52,02-01-2024 00:52,28.18,4657,884,7.2,997,Cloud,1832,863.37,Low,Round Robin,Dynamic
1.14,02-01-2024 00:53,02-01-2024 00:53,15.86,5110,4592,5.66,447,Cloud,4048,379.22,High,FCFS,Dynamic
4.84,02-01-2024 00:54,02-01-2024 00:54,58.28,5025,1181,5.49,848,IoT,2853,381.11,Medium,ASB-Dynamic-CapsNet,Static
3.22,02-01-2024 00:55,02-01-2024 00:55,63.46,5175,2133,3.27,55,Social Media,4217,759.33,Medium,FCFS,Static
0.83,02-01-2024 00:56,02-01-2024 00:56,59.56,2060,1714,6.15,677,Social Media,4597,302.12,Medium,ASB-Dynamic-CapsNet,Static
2.44,02-01-2024 00:57,02-01-2024 00:57,47.08,4262,4655,0.76,410,Enterprise DB,3008,125.92,Low,FCFS,Dynamic
0.92,02-01-2024 00:58,02-01-2024 00:58,40.38,1664,2516,1.11,497,Enterprise DB,1828,264.96,High,ASB-Dynamic-CapsNet,Dynamic
3.03,02-01-2024 00:59,02-01-2024 00:59,79.07,7386,4741,7.47,441,Social Media,875,393.47,Low,Round Robin,Dynamic
1.71,02-01-2024 01:00,02-01-2024 01:00,51.53,5919,3753,3.56,437,Social Media,3711,61.68,High,Priority-Based,Dynamic
0.98,02-01-2024 01:01,02-01-2024 01:01,48.33,3222,596,3.8,757,Social Media,3419,483.89,Medium,FCFS,Static
1.21,02-01-2024 01:02,02-01-2024 01:02,12.05,2858,604,2.48,837,Enterprise DB,3145,742.61,Medium,FCFS,Static
3.38,02-01-2024 01:03,02-01-2024 01:03,37.3,970,3486,4.73,581,Cloud,2207,518.61,Medium,Priority-Based,Dynamic
2.04,02-01-2024 01:04,02-01-2024 01:04,40.42,1916,2308,0.99,526,Cloud,101,81.18,Low,ASB-Dynamic-CapsNet,Static
2.57,02-01-2024 01:05,02-01-2024 01:05,41.91,6261,4913,3.35,974,IoT,3411,445.75,Low,Round Robin,Static
4.11,02-01-2024 01:06,02-01-2024 01:06,56.41,1968,3316,5.51,471,Social Media,3565,711.82,High,Round Robin,Dynamic
3.28,02-01-2024 01:07,02-01-2024 01:07,52.69,1308,3766,4.92,975,Social Media,4612,67.52,High,Round Robin,Static
2.31,02-01-2024 01:08,02-01-2024 01:08,58.63,671,1508,10,912,Social Media,3380,69.25,Medium,ASB-Dynamic-CapsNet,Static
4.77,02-01-2024 01:09,02-01-2024 01:09,71.19,7219,4464,4.19,190,IoT,1724,376.9,Low,FCFS,Static
1.07,02-01-2024 01:10,02-01-2024 01:10,75.04,4626,4177,4.18,154,Social Media,2915,203.01,Low,ASB-Dynamic-CapsNet,Dynamic
1.44,02-01-2024 01:11,02-01-2024 01:11,67.45,4642,1577,5.28,836,Cloud,1411,935.43,High,Round Robin,Dynamic
4.56,02-01-2024 01:12,02-01-2024 01:12,86.44,4725,2497,2.31,274,Social Media,836,585.53,High,Priority-Based,Dynamic
4.27,02-01-2024 01:13,02-01-2024 01:13,11.46,2899,209,8.82,744,IoT,605,294.45,Low,Round Robin,Dynamic
0.65,02-01-2024 01:14,02-01-2024 01:14,25.66,5573,3654,5.94,415,Enterprise DB,2089,707.73,Low,FCFS,Static
4.65,02-01-2024 01:15,02-01-2024 01:15,10.61,2145,749,2.33,822,Enterprise DB,1812,381.18,High,ASB-Dynamic-CapsNet,Dynamic
0.05,02-01-2024 01:16,02-01-2024 01:16,61.8,6200,1599,8.04,978,Cloud,2162,140.79,Low,ASB-Dynamic-CapsNet,Static
4.11,02-01-2024 01:17,02-01-2024 01:17,81.84,557,695,0.83,964,Cloud,2260,244.86,Low,Round Robin,Static
1.39,02-01-2024 01:18,02-01-2024 01:18,29.48,1629,1078,9.83,857,Cloud,1751,646.32,Medium,FCFS,Dynamic
0.94,02-01-2024 01:19,02-01-2024 01:19,84.16,7455,830,8.72,493,Enterprise DB,2136,61.36,Low,FCFS,Dynamic
2.24,02-01-2024 01:20,02-01-2024 01:20,14.82,1853,156,6.01,491,Social Media,2762,279.96,Low,Priority-Based,Dynamic
4.49,02-01-2024 01:21,02-01-2024 01:21,84.75,1267,2343,1.56,246,IoT,2457,216.23,Low,Round Robin,Dynamic
3.93,02-01-2024 01:22,02-01-2024 01:22,38.13,4395,1801,2.55,534,IoT,2366,209.12,High,Priority-Based,Static
4.84,02-01-2024 01:23,02-01-2024 01:23,18.11,1182,1386,3.15,348,Social Media,1660,685.93,Medium,ASB-Dynamic-CapsNet,Static
2.7,02-01-2024 01:24,02-01-2024 01:24,48.87,3954,211,2.79,277,Enterprise DB,4402,827.56,High,ASB-Dynamic-CapsNet,Static
2.55,02-01-2024 01:25,02-01-2024 01:25,30.54,2508,4906,5.23,941,Enterprise DB,4755,718.71,Medium,FCFS,Dynamic
0.07,02-01-2024 01:26,02-01-2024 01:26,32.79,7829,1301,9.47,275,IoT,1177,649.27,Medium,Priority-Based,Dynamic
0.9,02-01-2024 01:27,02-01-2024 01:27,34.58,7640,1047,4.72,537,Cloud,954,917.29,Low,FCFS,Dynamic
2.49,02-01-2024 01:28,02-01-2024 01:28,74.24,6929,4221,6.78,101,Cloud,213,67.81,Medium,Round Robin,Dynamic
3.76,02-01-2024 01:29,02-01-2024 01:29,53.13,3642,857,7.04,257,IoT,1186,175.81,Medium,FCFS,Static
4.11,02-01-2024 01:30,02-01-2024 01:30,34.9,2290,3488,8.78,28,IoT,4760,420.26,Low,ASB-Dynamic-CapsNet,Dynamic
1.42,02-01-2024 01:31,02-01-2024 01:31,58.83,1977,1941,0.82,881,Social Media,2075,378.73,Low,ASB-Dynamic-CapsNet,Static
3.56,02-01-2024 01:32,02-01-2024 01:32,67.29,1385,3635,4.34,399,Social Media,155,423.87,Medium,FCFS,Static
4.14,02-01-2024 01:33,02-01-2024 01:33,31.81,4406,2393,7.95,397,Social Media,4844,214.39,High,Round Robin,Static
1.87,02-01-2024 01:34,02-01-2024 01:34,43.08,4992,1204,8.24,935,Social Media,4509,158.01,Medium,Priority-Based,Dynamic
3.48,02-01-2024 01:35,02-01-2024 01:35,19.75,2038,761,9.31,624,Social Media,3142,514.1,High,ASB-Dynamic-CapsNet,Dynamic
2.19,02-01-2024 01:36,02-01-2024 01:36,24.49,2573,1008,7.18,104,Social Media,2071,928.77,High,ASB-Dynamic-CapsNet,Static
4.93,02-01-2024 01:37,02-01-2024 01:37,64.49,812,4717,2.83,439,Cloud,1202,398.05,Medium,Round Robin,Dynamic
0.03,02-01-2024 01:38,02-01-2024 01:38,24.52,6769,1956,5.3,804,IoT,748,52.92,High,FCFS,Dynamic
2.07,02-01-2024 01:39,02-01-2024 01:39,52.01,6184,2411,0.81,950,Enterprise DB,3917,709.11,Medium,ASB-Dynamic-CapsNet,Dynamic
1.32,02-01-2024 01:40,02-01-2024 01:40,66.72,5817,889,6.65,734,Social Media,3320,298.19,High,ASB-Dynamic-CapsNet,Static
4.25,02-01-2024 01:41,02-01-2024 01:41,18.55,1310,271,5.77,46,Cloud,796,252.64,High,Round Robin,Static
1.44,02-01-2024 01:42,02-01-2024 01:42,55.38,2735,4460,6.83,402,IoT,1010,331.02,Medium,FCFS,Static
2.72,02-01-2024 01:43,02-01-2024 01:43,30.53,7341,2086,9.34,582,IoT,3541,726.58,Low,Round Robin,Static
3.7,02-01-2024 01:44,02-01-2024 01:44,87.03,3357,1985,7.03,300,IoT,3347,820.63,Low,Round Robin,Static
2.49,02-01-2024 01:45,02-01-2024 01:45,48.68,3263,575,3.54,883,Social Media,3027,592.18,Medium,FCFS,Dynamic
2.05,02-01-2024 01:46,02-01-2024 01:46,74.48,2532,1149,2.39,312,Social Media,258,329.25,Medium,ASB-Dynamic-CapsNet,Dynamic
0.21,02-01-2024 01:47,02-01-2024 01:47,54.02,2007,4229,8.62,765,Enterprise DB,3366,317.37,Low,Priority-Based,Static
0.11,02-01-2024 01:48,02-01-2024 01:48,13.47,5045,2411,2.35,926,Social Media,1941,133.07,Low,Priority-Based,Static
4.79,02-01-2024 01:49,02-01-2024 01:49,60.65,3070,1261,2.04,410,IoT,1226,933.97,High,Priority-Based,Static
3.22,02-01-2024 01:50,02-01-2024 01:50,86.11,2394,915,2.46,832,IoT,3556,641.76,High,Round Robin,Static
4.13,02-01-2024 01:51,02-01-2024 01:51,58.13,5973,3866,5.33,353,Cloud,2089,36.7,High,ASB-Dynamic-CapsNet,Dynamic
2.4,02-01-2024 01:52,02-01-2024 01:52,75.54,7629,3022,1.68,872,Cloud,3339,665.74,Low,ASB-Dynamic-CapsNet,Static
1.31,02-01-2024 01:53,02-01-2024 01:53,80.74,3205,853,9.41,527,Enterprise DB,1502,452.68,Medium,ASB-Dynamic-CapsNet,Dynamic
1.47,02-01-2024 01:54,02-01-2024 01:54,28.25,1096,4761,9.68,386,Cloud,4811,972.83,High,ASB-Dynamic-CapsNet,Static
0.22,02-01-2024 01:55,02-01-2024 01:55,26.96,2647,561,9.75,940,Enterprise DB,3910,820.88,Medium,Round Robin,Dynamic
